latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
25.189	105.477	L809717	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Anlong Yilongxinqu (Jinpuhui) solar farm	China	2022.0	50.0	[2022.0]	[50.0]	1
25.1913	101.2742	L827451	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Nanhua Lvhe Coal Mine solar farm	China	2023.0	50.4	[2023.0]	[50.4]	1
25.196345	81.6585338	L102616	coal plant/unknown	mw	Bara Thermal Power Project	India	2015.0	660.0	[2015.0, 2016.0, 2017.0]	[660.0, 660.0, 660.0]	3
25.1965	119.2717	L902867	wind power/onshore	mw	Fujian Putian Shijing wind farm	China	2012.0	14.0	[2012.0]	[14.0]	1
25.1982	100.4051	L904692	wind power/onshore	mw	Yunnan Weishan Biandanshan wind farm	China	2015.0	48.0	[2015.0]	[48.0]	1
25.198228	105.032044	L100519	coal plant/unknown	mw	Xingyi Zhengluwan power station	China	2020.0	350.0	[2020.0, 2020.0]	[350.0, 350.0]	2
25.19943	104.6819	L101716	coal plant/anthracite	mw	Diandong power station	China	2006.0	600.0	[2006.0, 2006.0, 2007.0, 2008.0]	[600.0, 600.0, 600.0, 600.0]	4
25.2003	119.1975	L904274	wind power/onshore	mw	Fujian Putian Shitang wind farm	China	2016.0	48.0	[2016.0]	[48.0]	1
25.2011	103.954	L919059	wind power/onshore	mw	Yunnan Qujing Zhumushan wind farm	China	2016.0	150.0	[2016.0]	[150.0]	1
25.2021	101.5198	L903398	wind power/onshore	mw	Yunnan Mouding Dajianfeng wind farm	China	2012.0	50.0	[2012.0]	[50.0]	1
25.2044	118.94385	L100300	coal plant/bituminous	mw	Nanpu Quanzhou power station	China	2005.0	300.0	[2005.0, 2006.0, 2011.0, 2012.0]	[300.0, 300.0, 670.0, 670.0]	4
25.2047	119.4916	L902865	wind power/onshore	mw	Fujian Putian Nanridao (Longyuan) wind farm	China	2011.0	48.0	[2011.0]	[48.0]	1
25.2047	119.4917	L902865	wind power/onshore	mw	Fujian Putian Nanridao (Longyuan) wind farm	China	2011.0	48.0	[2011.0]	[48.0]	1
25.2059	111.8347	L903115	wind power/onshore	mw	Hunan Daoxian Hongtangying wind farm	China	2020.0	47.0	[2020.0]	[47.0]	1
25.2076	113.281	L600932	hydropower/conventional storage	mw	Lechangxia hydroelectric plant	China	2013.0	132.0	[2013.0]	[132.0]	1
25.2083	102.425	L903452	wind power/onshore	mw	Yunnan Fumin Mayingshan wind farm	China	2013.0	40.0	[2013.0]	[40.0]	1
25.2102	119.2898	L902867	wind power/onshore	mw	Fujian Putian Shijing wind farm	China	2009.0	40.0	[2009.0]	[40.0]	1
25.2128	98.1915	L601175	hydropower/conventional storage	mw	Sujiahekou hydroelectric plant	China	2012.0	315.0	[2012.0]	[315.0]	1
25.2135	118.9983	T0381	LNG terminal/import	mtpa	Fujian LNG Terminal	China	2009.0	1.3	[2009.0, 2019.0]	[5.2, 1.3]	2
25.215	105.438	L809718	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Anlong Zongke solar farm	China	2017.0	30.0	[2017.0]	[30.0]	1
25.2172	115.5583	L904304	wind power/onshore	mw	Jiangxi Huichang Panguzhang wind farm	China	2019.0	52.0	[2019.0]	[52.0]	1
25.2213	119.5008	L902864	wind power/onshore	mw	Fujian Putian Nanridao (Houshanzai) wind farm	China	2005.0	16.0	[2005.0]	[16.0]	1
25.2246789266925	119.024749115122	L104903	coal plant/unknown	mw	Fujian Putian Shimen'ao Cogen power station	China	2023.0	80.0	[2023.0]	[80.0]	1
25.2255	118.799	L904268	wind power/onshore	mw	Fujian Xianyou Jiushe wind farm	China	2018.0	30.0	[2018.0]	[30.0]	1
25.2259	102.4952	L919034	wind power/onshore	mw	Yunnan Fumin Longma wind farm	China	2017.0	42.0	[2017.0]	[42.0]	1
25.2272	119.4611	L904280	wind power/onshore	mw	Fujian Putian Shipan wind farm	China	2016.0	48.0	[2016.0]	[48.0]	1
25.2284	119.1589	L902862	wind power/onshore	mw	Fujian Putian Dongqiao wind farm	China	2012.0	48.0	[2012.0]	[48.0]	1
25.229	112.388	L903061	wind power/onshore	mw	Hunan Linwu Dachong wind farm	China	2015.0	50.0	[2015.0]	[50.0]	1
25.2291	111.4132	L904916	wind power/onshore	mw	Hunan Jiangyong Tongshanling wind farm	China	2021.0	50.0	[2021.0]	[50.0]	1
25.2303	101.3316	L904694	wind power/onshore	mw	Yunnan Nanhua Wayao wind farm	China	2016.0	50.0	[2016.0]	[50.0]	1
25.2304	100.7506	L829240	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Xiangyun Xiaoying Storage And solar farm	China	2023.0	50.0	[2023.0]	[50.0]	1
25.2353	51.0137	L804101	solar power/pv	mw (peak value, grid connected, or unknown)	Al Kharsaah Solar	Qatar	2022.0	350.0	[2022.0]	[350.0]	1
25.2354	92.2279	L601968	hydropower/run-of-river	mw	Myntdu Leshka-I hydroelectric plant	India	2011.0	126.0	[2011.0]	[126.0]	1
25.2361	105.4124	L809709	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Anlong Miemao solar farm	China	2022.0	150.0	[2022.0]	[150.0]	1
25.2369032	87.2655952	L102104	coal plant/lignite	mw	Kahalgaon Super Thermal Power Plant	India	2008.0	500.0	[2008.0, 2009.0, 2010.0]	[500.0, 500.0, 500.0]	3
25.2378	100.8038	L829241	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Xiangyun Xionglipo (Huaneng) solar farm	China	2023.0	100.0	[2023.0]	[100.0]	1
25.238	104.981	L809936	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Xingyi Wantunzhen (Datang) solar farm	China	2020.0	70.0	[2020.0]	[70.0]	1
25.239	105.426	L809711	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Anlong Puping Nantianmen solar farm	China	2021.0	105.0	[2021.0]	[105.0]	1
25.239	109.0834	L917531	wind power/onshore	mw	Guangxi Rongshui Motianling wind farm	China	2020.0	44.0	[2020.0]	[44.0]	1
25.239	109.0834	L917536	wind power/onshore	mw	Guangxi Rongshui Zishanping wind farm	China	2020.0	36.0	[2020.0]	[36.0]	1
25.2417	111.6833	L904913	wind power/onshore	mw	Hunan Jianghua Mengzhuling wind farm	China	2020.0	50.0	[2020.0]	[50.0]	1
25.2439	100.5825	L829176	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Midu County Mugulan solar farm	China	2022.0	40.0	[2022.0]	[40.0]	1
25.2441	105.6633	L600678	hydropower/run-of-river	mw	Dahetian Luosheng hydroelectric plant	China	2006.0	80.0	[2006.0]	[80.0]	1
25.244396	118.029905	SCN00010	steel	total tonnes per annum	Fujian Quanzhou Minguang Iron and Steel Co., Ltd.	China	2001.0	4110.9	[2001.0]	[4110.9]	1
25.2512	106.5886	L809797	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Luodian Langding (GCL) solar farm	China	2017.0	40.0	[2017.0]	[40.0]	1
25.2564	119.3314	L902866	wind power/onshore	mw	Fujian Putian Shicheng wind farm	China	2012.0	50.0	[2012.0]	[50.0]	1
25.257	114.013	L919157	wind power/onshore	mw	Guangdong Nanxiong Zhu'ancun wind farm	China	2021.0	49.9	[2021.0]	[49.9]	1
25.25886	113.06552	L100401	coal plant/anthracite	mw	Pingshi power station	China	2009.0	300.0	[2009.0, 2010.0]	[300.0, 300.0]	2
25.2606	100.3879	L904683	wind power/onshore	mw	Yunnan Weishan Shamaoshan wind farm	China	2014.0	48.0	[2014.0]	[48.0]	1
25.260729	104.856367	L100518	coal plant/anthracite	mw	Xingyi power station	China	2011.0	600.0	[2011.0, 2011.0]	[600.0, 600.0]	2
25.2638	103.8626	L903466	wind power/onshore	mw	Yunnan Qiubei Ganmalu wind farm	China	2012.0	50.0	[2012.0]	[50.0]	1
25.264	104.853	L809931	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Xingyi Qingshuihe (Xingdian) solar farm	China	2020.0	100.0	[2020.0]	[100.0]	1
25.264	105.423	L809710	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Anlong Puping (Xinguang) solar farm	China	2016.0	30.0	[2016.0]	[30.0]	1
25.2644	-111.8769	L807205	solar power/pv	mw (peak value, grid connected, or unknown)	Sol De Insurgentes solar farm	Mexico	2021.0	27.8	[2021.0]	[27.8]	1
25.264706	119.475599	L902892	wind power/offshore hard mount	mw	Fujian Putian Nanridao Offshore wind farm	China	2020.0	220.0	[2020.0]	[220.0]	1
25.264832	119.353804	L902866	wind power/onshore	mw	Fujian Putian Shicheng wind farm	China	2009.0	40.0	[2009.0]	[40.0]	1
25.2667	107.4819	L809732	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Dushan Baiquan Agriculture solar farm	China	2021.0	100.0	[2021.0]	[100.0]	1
25.2667	107.4819	L809734	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Dushan Jichang Agriculture solar farm	China	2022.0	200.0	[2022.0]	[200.0]	1
25.2689	102.3689	L903396	wind power/onshore	mw	Yunnan Lufeng Laoqingshan wind farm	China	2015.0	50.0	[2015.0]	[50.0]	1
25.2762	119.2905	L904262	wind power/onshore	mw	Fujian Xiuyu Dahanshan wind farm	China	2015.0	48.0	[2015.0]	[48.0]	1
25.2810326	117.1548879	L100289	coal plant/anthracite	mw	Hang Hau Longyan power station	China	2009.0	300.0	[2009.0]	[300.0]	1
25.2810326	117.1548879	L100289	coal plant/bituminous	mw	Hang Hau Longyan power station	China	2010.0	300.0	[2010.0]	[300.0]	1
25.281825	104.866064	L100505	coal plant/unknown	mw	Qingshuihe cogen power station	China	2015.0	350.0	[2015.0, 2015.0]	[350.0, 350.0]	2
25.2833	112.975	L903072	wind power/onshore	mw	Hunan Yizhang Donggualing wind farm	China	2020.0	100.0	[2020.0]	[100.0]	1
25.28422	117.39892	L100305	coal plant/anthracite	mw	Zhangping power station	China	2011.0	300.0	[2011.0, 2012.0]	[300.0, 300.0]	2
25.2851	102.4082	L904696	wind power/onshore	mw	Yunnan Fumin Jintongpen wind farm	China	2015.0	38.0	[2015.0]	[38.0]	1
25.2857	113.0546	L809395	solar power/pv	mw (peak value, grid connected, or unknown)	Guangdong Lechang Pingshi Longzhu (Huadian) solar farm	China	2021.0	63.0	[2021.0]	[63.0]	1
25.287	100.8202	L829239	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Xiangyun Chaoyang solar farm	China	2023.0	100.0	[2023.0]	[100.0]	1
25.2916	119.3026	L904269	wind power/onshore	mw	Fujian Putian Dingyanshan wind farm	China	2019.0	48.0	[2019.0]	[48.0]	1
25.2919	119.3564	L902894	wind power/offshore hard mount	mw	Fujian Shicheng Offshore wind farm	China	2021.0	196.0	[2021.0]	[196.0]	1
25.2945	111.4238	L903123	wind power/onshore	mw	Hunan Jiangyong Shangjiangxu wind farm	China	2019.0	70.0	[2019.0]	[70.0]	1
25.2957	101.4222	L903399	wind power/onshore	mw	Yunnan Mouding Tunfeng wind farm	China	2011.0	50.0	[2011.0]	[50.0]	1
25.299	111.5853	L903119	wind power/onshore	mw	Hunan Jianghua Hongtang wind farm	China	2018.0	48.0	[2018.0]	[48.0]	1
25.3039	119.2076	L902863	wind power/onshore	mw	Fujian Putian Houhai wind farm	China	2012.0	48.0	[2012.0]	[48.0]	1
25.304884	119.196428	L902863	wind power/onshore	mw	Fujian Putian Houhai wind farm	China	2012.0	48.0	[2012.0]	[48.0]	1
25.3063	100.681	L829243	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Xiangyun Yunnanyi solar farm	China	2023.0	50.0	[2023.0]	[50.0]	1
